"region_id","region_code","region_name","avg_rating"
1,"alexander_valley","Alexander Valley",88.3048469387755
2,"anderson_valley","Anderson Valley",90.3390092879257
3,"los_carneros","Carneros",88.7717717717718
4,"central_coast","Central Coast",86.8638184245661
5,"dry_creek_valley","Dry Creek Valley",87.8221512247071
6,"edna_valley","Edna Valley",89.5731707317073
7,"livermore_valley","Livermore Valley",88.4298440979955
8,"lodi","Lodi",86.8829389788294
9,"napa_valley","Napa Valley",89.04375
10,"paso_robles","Paso Robles",87.8923404255319
11,"russian_river_valley","Russian River Valley",89.5257198317696
12,"rutherford","Rutherford",90.1459854014599
13,"santa_cruz_mountains","Santa Cruz Mountains",89.801094890511
14,"santa_lucia_highlands","Santa Lucia Highlands",89.9491315136476
15,"santa_maria_valley","Santa Maria Valley",90.6633522727273
16,"santa_ynez_valley","Santa Ynez Valley",88.7302955665025
17,"sierra_foothills","Sierra Foothills",88.3082706766917
18,"sonoma_coast","Sonoma Coast",89.9701492537313
19,"sonoma_valley","Sonoma Valley",87.9667170953101
20,"sta__rita_hills","Sta. Rita Hills",90.734358974359
